DATE,W998RC1Q027SBEA
1960-01-01,46.307
1960-04-01,44.676
1960-07-01,46.79
1960-10-01,46.324
1961-01-01,50.122
1961-04-01,51.048
1961-07-01,54.757
1961-10-01,55.597
1962-01-01,56.14
1962-04-01,56.258
1962-07-01,55.581
1962-10-01,54.214
1963-01-01,55.278
1963-04-01,55.661
1963-07-01,55.279
1963-10-01,59.324
1964-01-01,60.712
1964-04-01,66.041
1964-07-01,64.708
1964-10-01,69.191
1965-01-01,65.896
1965-04-01,66.828
1965-07-01,73.356
1965-10-01,71.58
1966-01-01,70.662
1966-04-01,71.361
1966-07-01,73.209
1966-10-01,78.345
1967-01-01,84.313
1967-04-01,82.221
1967-07-01,86.523
1967-10-01,88.701
1968-01-01,87.3
1968-04-01,90.212
1968-07-01,82.634
1968-10-01,86.109
1969-01-01,82.131
1969-04-01,85.698
1969-07-01,97.909
1969-10-01,99.432
1970-01-01,104.223
1970-04-01,111.668
1970-07-01,119.355
1970-10-01,120.978
1971-01-01,125.192
1971-04-01,132.186
1971-07-01,132.205
1971-10-01,131.012
1972-01-01,126.795
1972-04-01,122.43
1972-07-01,129.305
1972-10-01,148.946
1973-01-01,143.771
1973-04-01,155.526
1973-07-01,160.348
1973-10-01,176.886
1974-01-01,174.282
1974-04-01,166.167
1974-07-01,167.777
1974-10-01,185.07
1975-01-01,178.19
1975-04-01,218.958
1975-07-01,190.224
1975-10-01,192.276
1976-01-01,189.157
1976-04-01,188.515
1976-07-01,190.161
1976-10-01,186.986
1977-01-01,179.162
1977-04-01,189.158
1977-07-01,200.774
1977-10-01,213.152
1978-01-01,221.419
1978-04-01,213.281
1978-07-01,224.007
1978-10-01,227.91
1979-01-01,246.21
1979-04-01,238.283
1979-07-01,237.458
1979-10-01,242.812
1980-01-01,256.455
1980-04-01,286.301
1980-07-01,297.948
1980-10-01,307.653
1981-01-01,302.041
1981-04-01,307.618
1981-07-01,349.737
1981-10-01,368.676
1982-01-01,361.605
1982-04-01,371.417
1982-07-01,374.378
1982-10-01,348.883
1983-01-01,353.755
1983-04-01,328.65
1983-07-01,329.239
1983-10-01,351.112
1984-01-01,388.034
1984-04-01,401.948
1984-07-01,422.862
1984-10-01,415.863
1985-01-01,362.695
1985-04-01,400.084
1985-07-01,341.833
1985-10-01,371.766
1986-01-01,392.684
1986-04-01,402.759
1986-07-01,373.903
1986-10-01,359.243
1987-01-01,388.743
1987-04-01,317.754
1987-07-01,347.362
1987-10-01,395.789
1988-01-01,401.747
1988-04-01,423.914
1988-07-01,438.003
1988-10-01,439.795
1989-01-01,468.515
1989-04-01,443.518
1989-07-01,438.115
1989-10-01,459.595
1990-01-01,469.995
1990-04-01,495.401
1990-07-01,485.697
1990-10-01,486.717
1991-01-01,516.058
1991-04-01,519.76
1991-07-01,521.382
1991-10-01,563.306
1992-01-01,585.359
1992-04-01,606.476
1992-07-01,582.939
1992-10-01,565.964
1993-01-01,570.672
1993-04-01,552.231
1993-07-01,512.364
1993-10-01,511.14
1994-01-01,494.5
1994-04-01,510.642
1994-07-01,505.715
1994-10-01,531.81
1995-01-01,566.535
1995-04-01,534.254
1995-07-01,537.435
1995-10-01,529.465
1996-01-01,538.911
1996-04-01,536.125
1996-07-01,548.878
1996-10-01,538.289
1997-01-01,537.927
1997-04-01,563.054
1997-07-01,540.586
1997-10-01,565.0
1998-01-01,638.676
1998-04-01,625.776
1998-07-01,617.002
1998-10-01,585.168
1999-01-01,601.695
1999-04-01,510.181
1999-07-01,493.133
1999-10-01,491.024
2000-01-01,518.473
2000-04-01,541.321
2000-07-01,565.5
2000-10-01,549.826
2001-01-01,596.419
2001-04-01,586.376
2001-07-01,745.086
2001-10-01,511.9
2002-01-01,693.041
2002-04-01,735.101
2002-07-01,706.145
2002-10-01,724.136
2003-01-01,704.04
2003-04-01,713.08
2003-07-01,758.543
2003-10-01,730.151
2004-01-01,706.872
2004-04-01,760.849
2004-07-01,728.581
2004-10-01,745.04
2005-01-01,569.902
2005-04-01,556.514
2005-07-01,529.305
2005-10-01,605.682
2006-01-01,690.52
2006-04-01,680.883
2006-07-01,634.115
2006-10-01,655.191
2007-01-01,681.635
2007-04-01,700.98
2007-07-01,657.259
2007-10-01,637.185
2008-01-01,710.048
2008-04-01,921.306
2008-07-01,792.821
2008-10-01,1009.584
2009-01-01,1016.578
2009-04-01,1140.272
2009-07-01,947.513
2009-10-01,985.363
2010-01-01,999.344
2010-04-01,1098.055
2010-07-01,1092.486
2010-10-01,1082.577
2011-01-01,1173.471
2011-04-01,1150.634
2011-07-01,1188.786
2011-10-01,1201.047
2012-01-01,1315.738
2012-04-01,1383.29
2012-07-01,1273.899
2012-10-01,1581.215
2013-01-01,1016.517
2013-04-01,1085.301
2013-07-01,1094.974
2013-10-01,1022.396
2014-01-01,1131.02
2014-04-01,1181.978
2014-07-01,1189.978
2014-10-01,1228.806
2015-01-01,1311.895
2015-04-01,1269.28
2015-07-01,1260.607
2015-10-01,1286.763
2016-01-01,1313.089
2016-04-01,1239.893
2016-07-01,1235.214
2016-10-01,1266.842
2017-01-01,1324.821
2017-04-01,1416.846
2017-07-01,1436.561
2017-10-01,1382.775
2018-01-01,1453.633
2018-04-01,1523.576
2018-07-01,1619.743
2018-10-01,1735.568
2019-01-01,1913.771
2019-04-01,1789.311
2019-07-01,1755.716
2019-10-01,1763.624
2020-01-01,2136.775
2020-04-01,5062.237
2020-07-01,3306.969
2020-10-01,2798.311
2021-01-01,4575.158
2021-04-01,2598.495
2021-07-01,2287.17
2021-10-01,1909.156
2022-01-01,1493.954
2022-04-01,1367.536
2022-07-01,1448.279
2022-10-01,1465.494
2023-01-01,1791.346
2023-04-01,1875.862
2023-07-01,1713.244
2023-10-01,1689.394
